date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:10	292/292	---M-Z	302	error ('Found')	text/html	date:Mon,%2005%20Feb%202018%2020:39:11%20GMT	http://ss.webring.org/h/new	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/ss.webring.org/h/new.43.delayed	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:10	291/291	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Feb%202018%2020:39:11%20GMT	http://ss.webring.org/cgi-bin/login?login	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/ss.webring.org/cgi-bin/login.44d56b.delayed	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:11	565/565	---M-Z	200	added ('OK')	image/gif	etag:%221415ea-235-54366336dab01%22	http://img.webring.com/magnifying-glass.gif	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img.webring.com/magnifying-glass.gif	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:11	297/297	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Feb%202018%2020:39:12%20GMT	http://ss.webring.org/cgi-bin/mailafriend?url=	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/ss.webring.org/cgi-bin/mailafriend.46c461.delayed	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:11	1914/1914	---M-Z	200	added ('OK')	image/gif	etag:%22141617-77a-54366341409df%22	http://img.webring.com/tell-a-friend-icon.gif	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img.webring.com/tell-a-friend-icon.gif	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:12	1086/1086	---M-Z	200	added ('OK')	image/gif	etag:%221415cf-43e-54366330880bc%22	http://img.webring.com/header_bg.gif	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img.webring.com/header_bg.gif	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:12	359279/359279	---M-Z	200	added ('OK')	application/javascript	etag:%225a789881-57b6f%22	http://s7.addthis.com/js/250/addthis_widget.js	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/s7.addthis.com/js/250/addthis_widget.js	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:12	4352/4352	---M-Z	200	added ('OK')	image/gif	etag:%221415cd-1100-543663303027f%22	http://img.webring.com/ha15d.gif	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img.webring.com/ha15d.gif	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:12	886/886	---M-Z	200	added ('OK')	image/gif	etag:%221415e1-376-54366334bff45%22	http://img.webring.com/lhs.gif	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/img.webring.com/lhs.gif	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:13	281/281	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Feb%202018%2020:39:14%20GMT	http://ss.webring.org/dir	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/ss.webring.org/dir.4b.delayed	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:13	298/298	---M-Z	302	error ('Found')	text/html	date:Mon,%2005%20Feb%202018%2020:39:14%20GMT	http://ss.webring.org/h/learnmore	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/ss.webring.org/h/learnmore.4c.delayed	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
18:39:14	415/415	---M-Z	302	error ('Found')	text/html	date:Mon,%2005%20Feb%202018%2020:39:14%20GMT	http://t.webring.com/wrman?ring=6502webring;sid=5;addsite	E:/Desktop/6502%20Complete%20Reference/6502%20Complete%20Reference/t.webring.com/wrman.4d49f9.delayed	(from http://ss.webring.org/navbar?f=l;y=andrew_jacobs;u=10039925;comid=)
